train.ids folds
train.353 3
train.354 1
train.355 3
train.356 5
train.357 3
train.358 5
train.359 2
train.360 4
train.361 1
train.362 1
train.363 4
train.364 2
train.365 5
train.366 5
train.367 5
train.368 1
train.369 2
train.370 3
train.371 5
train.372 2
train.373 4
train.374 2
train.375 3
train.376 5
train.377 4
train.378 1
train.379 2
train.380 5
train.381 3
train.382 4
train.383 2
train.384 4
train.385 3
train.386 4
train.387 5
train.388 2
train.389 1
train.390 5
train.391 5
train.392 2
train.393 3
train.394 4
train.395 1
train.396 5
train.397 2
train.398 1
train.399 1
train.400 5
train.401 5
train.402 1
train.403 4
train.404 3
train.405 2
train.406 2
train.407 3
train.408 1
train.409 2
train.410 5
train.411 2
train.412 4
train.413 1
train.414 3
train.415 2
train.416 1
train.417 4
train.418 5
train.419 2
train.420 1
train.421 3
train.422 3
train.423 3
train.424 2
train.425 4
train.426 3
train.427 2
train.428 2
train.429 1
train.430 4
train.431 5
train.432 3
train.433 2
train.434 4
train.435 1
train.436 3
train.437 1
train.438 2
train.439 1
train.440 1
train.441 2
train.442 5
train.443 3
train.444 1
train.445 4
train.446 3
train.447 4
train.448 1
train.449 5
train.450 3
train.451 3
train.452 2
train.453 1
train.454 1
train.455 1
train.456 4
train.457 4
train.458 3
train.459 1
train.460 1
train.461 4
train.462 2
train.463 2
train.464 1
train.465 5
train.466 2
train.467 1
train.468 3
train.469 2
train.470 4
train.471 1
train.472 5
train.473 2
train.474 3
train.475 3
train.476 2
train.477 3
train.478 1
train.479 5
train.480 3
train.481 1
train.482 5
train.483 2
train.484 3
train.485 4
train.486 1
train.487 5
train.488 3
train.489 2
train.490 5
train.491 5
train.492 1
train.493 2
train.494 4
train.495 1
train.496 4
train.497 5
train.498 1
train.499 3
train.500 4
train.501 2
train.502 2
train.503 2
train.504 1
train.505 2
train.506 5
train.507 5
train.508 5
train.509 4
train.510 2
train.511 4
train.512 5
train.513 4
train.514 5
train.515 3
train.516 1
train.517 2
train.518 5
train.519 5
train.520 4
train.521 5
train.522 4
train.523 2
train.524 1
train.525 2
train.526 3
train.527 4
train.528 1
train.529 4
train.530 4
train.531 4
train.532 5
train.533 5
train.534 4
train.535 5
train.536 3
train.537 2
train.538 4
train.539 3
train.540 2
train.541 4
train.542 1
train.543 4
train.544 2
train.545 5
train.546 4
train.547 1
train.548 4
train.549 4
train.550 2
train.551 5
train.552 1
train.553 3
train.554 4
train.555 2
train.556 3
train.557 3
train.558 2
train.559 2
train.560 1
train.561 1
train.562 4
train.563 3
train.564 5
train.565 3
train.566 3
train.567 2
train.568 4
train.569 3
train.570 4
train.571 5
train.572 4
train.573 3
train.574 5
train.575 4
train.576 3
train.577 5
train.578 1
train.579 3
train.580 2
train.581 4
train.582 3
train.583 4
train.584 2
train.585 4
train.586 1
train.587 2
train.588 5
train.589 4
train.590 5
train.591 2
train.592 1
train.593 4
train.594 1
train.595 1
train.596 4
train.597 2
train.598 4
train.599 5
train.600 1
train.601 5
train.602 3
train.603 1
train.604 2
train.605 1
train.606 5
train.607 1
train.608 3
train.609 2
train.610 4
train.611 3
train.612 1
train.613 1
train.614 4
train.615 3
train.616 3
train.617 5
train.618 3
train.619 4
train.620 1
train.621 4
train.622 4
train.623 5
train.624 2
train.625 1
train.626 5
train.627 4
train.628 4
train.629 2
train.630 2
train.631 3
train.632 3
train.633 2
train.634 3
train.635 4
train.636 5
train.637 4
train.638 3
train.639 4
train.640 2
train.641 5
train.642 5
train.643 5
train.644 2
train.645 1
train.646 5
train.647 5
train.648 1
train.649 2
train.650 3
train.651 3
train.652 4
train.653 2
train.654 2
train.655 4
train.656 5
train.657 4
train.658 1
train.659 2
train.660 5
train.661 3
train.662 3
train.663 1
train.664 4
train.665 4
train.666 5
train.667 5
train.668 1
train.669 3
train.670 5
train.671 1
train.672 5
train.673 1
train.674 5
train.675 5
train.676 3
train.677 3
train.678 1
train.679 2
train.680 2
train.681 3
train.682 3
train.683 3
train.684 4
train.685 4
train.686 5
train.687 2
train.688 1
train.689 5
train.690 1
train.691 1
train.692 3
train.693 5
train.694 1
train.695 1
train.696 2
train.697 1
train.698 1
train.699 2
train.700 2
train.701 3
train.702 5
train.703 5
train.704 3
train.705 2
train.706 3
train.707 4
train.708 5
train.709 5
train.710 2
train.711 4
train.712 5
train.713 3
train.714 4
train.715 2
train.716 5
train.717 1
train.718 1
train.719 4
train.720 1
train.721 2
train.722 3
train.723 3
train.724 5
train.725 5
train.726 5
train.727 3
train.728 3
train.729 3
train.730 1
train.731 5
train.732 5
train.733 3
train.734 4
train.735 1
train.736 2
train.737 3
train.738 5
train.739 4
train.740 5
train.741 4
train.742 1
train.743 1
train.744 2
train.745 2
train.746 4
train.747 3
train.748 5
train.749 5
train.750 4
train.751 1
train.752 4
train.753 1
train.754 1
train.755 5
train.756 2
train.757 2
train.758 3
train.759 5
train.760 1
train.761 4
train.762 1
train.763 2
train.764 2
train.765 2
train.766 1
train.767 1
train.768 2
train.769 5
train.770 5
train.771 4
train.772 3
train.773 3
train.774 5
train.775 5
train.776 1
train.777 4
train.778 2
train.779 4
train.780 3
train.781 1
train.782 3
train.783 5
train.784 3
train.785 5
train.786 5
train.787 5
train.788 4
train.789 1
train.790 4
train.791 3
train.792 5
train.793 5
train.794 2
train.795 3
train.796 2
train.797 1
train.798 1
train.799 2
train.800 1
train.801 2
train.802 2
train.803 1
train.804 4
train.805 1
train.806 4
train.807 5
train.808 2
train.809 3
train.810 4
train.811 1
train.812 4
train.813 5
train.814 4
train.815 3
train.816 5
train.817 1
train.818 1
train.819 4
train.820 5
train.821 3
train.822 1
train.823 2
train.824 5
train.825 3
train.826 5
train.827 2
train.828 1
train.829 2
train.830 3
train.831 4
train.832 3
train.833 5
train.834 3
train.835 3
train.836 2
train.837 5
train.838 5
train.839 4
train.840 4
train.841 4
train.842 5
train.843 2
train.844 1
train.845 2
train.846 5
train.847 3
train.848 1
train.849 1
train.850 5
train.851 1
train.852 5
train.853 4
train.854 3
train.855 5
train.856 2
train.857 3
train.858 1
train.859 4
train.860 5
train.861 5
train.862 1
train.863 2
train.864 2
train.865 2
train.866 1
train.867 4
train.868 4
train.869 2
train.870 5
train.871 1
train.872 1
train.873 3
train.874 2
train.875 4
train.876 3
train.877 1
train.878 5
train.879 4
train.880 2
train.881 5
train.882 3
train.883 3
train.884 1
train.885 5
train.886 3
train.887 2
train.888 4
train.889 1
train.890 4
train.891 5
train.892 3
train.893 2
train.894 5
train.895 3
train.896 3
train.897 1
train.898 5
train.899 4
train.900 3
train.901 3
train.902 2
train.903 3
train.904 2
train.905 2
train.906 2
train.907 4
train.908 5
train.909 5
train.910 5
train.911 1
train.912 4
train.913 3
train.914 4
train.915 4
train.916 3
train.917 5
train.918 4
train.919 4
train.920 1
train.921 3
train.922 4
train.923 2
train.924 5
train.925 3
train.926 4
train.927 1
train.928 2
train.929 4
train.930 3
train.931 3
train.932 5
train.933 4
train.934 2
train.935 3
train.936 1
train.937 2
train.938 4
train.939 3
train.940 4
train.941 3
train.942 2
train.943 2
train.944 5
train.945 1
train.946 1
train.947 4
train.948 1
train.949 2
train.950 1
train.951 3
train.952 4
train.953 4
train.954 1
train.955 4
train.956 3
train.957 5
train.958 1
train.959 4
train.960 2
train.961 2
train.962 2
train.963 2
train.964 5
train.965 3
train.966 5
train.967 5
train.968 5
train.969 3
train.970 2
train.971 4
train.972 4
train.973 5
train.974 1
train.975 1
train.976 2
train.977 4
train.978 1
train.979 5
train.980 2
train.981 2
train.982 3
train.983 3
train.984 5
train.985 3
train.986 3
train.987 1
train.988 1
train.989 1
train.990 2
train.991 5
train.992 1
train.993 4
train.994 2
train.995 2
train.996 3
train.997 5
train.998 2
train.999 2
train.1000 1
train.1001 1
train.1002 2
train.1003 5
train.1004 4
train.1005 3
train.1006 5
train.1007 5
train.1008 1
train.1009 1
train.1010 3
train.1011 2
train.1012 1
train.1013 5
train.1014 2
train.1015 1
train.1016 5
train.1017 2
train.1018 3
train.1019 2
train.1020 5
train.1021 4
train.1022 3
train.1023 2
train.1024 4
train.1025 4
train.1026 1
train.1027 3
train.1028 2
train.1029 1
train.1030 2
train.1031 5
train.1032 4
train.1033 2
train.1034 1
train.1035 5
train.1036 2
train.1037 3
train.1038 3
train.1039 5
train.1040 2
train.1041 4
train.1042 4
train.1043 5
train.1044 4
train.1045 1
train.1046 4
train.1047 5
train.1048 1
train.1049 3
train.1050 3
train.1051 5
train.1052 3
train.1053 3
train.1054 2
train.1055 2
train.1056 1
train.1057 5
train.1058 5
train.1059 4
train.1060 2
train.1061 5
train.1062 5
train.1063 1
train.1064 1
train.1065 1
train.1066 2
train.1067 4
train.1068 1
train.1069 4
train.1070 3
train.1071 3
train.1072 4
train.1073 3
train.1074 4
train.1075 2
train.1076 3
train.1077 1
train.1078 5
train.1079 2
train.1080 1
train.1081 1
train.1082 4
train.1083 4
train.1084 4
train.1085 5
train.1086 5
train.1087 5
train.1088 1
train.1089 5
train.1090 4
train.1091 5
train.1092 4
train.1093 1
train.1094 1
train.1095 3
train.1096 2
train.1097 3
train.1098 2
train.1099 1
train.1100 4
train.1101 2
train.1102 2
train.1103 5
train.1104 3
train.1105 4
train.1106 2
train.1107 2
train.1108 5
train.1109 3
train.1110 3
train.1111 3
train.1112 5
train.1113 3
train.1114 1
train.1115 1
train.1116 5
train.1117 2
train.1118 3
train.1119 4
train.1120 2
train.1121 1
train.1122 4
train.1123 4
train.1124 1
train.1125 5
train.1126 1
train.1127 3
train.1128 2
train.1129 1
train.1130 5
train.1131 4
train.1132 5
train.1133 2
train.1134 2
train.1135 4
train.1136 5
train.1137 4
train.1138 3
train.1139 2
train.1140 1
train.1141 3
train.1142 4
train.1143 1
train.1144 3
train.1145 1
train.1146 1
train.1147 2
train.1148 2
train.1149 5
train.1150 4
train.1151 3
train.1152 5
train.1153 4
train.1154 5
train.1155 2
train.1156 5
train.1157 5
train.1158 2
train.1159 2
train.1160 3
train.1161 1
train.1162 1
train.1163 2
train.1164 4
train.1165 1
train.1166 1
train.1167 3
train.1168 1
train.1169 3
train.1170 5
train.1171 5
train.1172 1
train.1173 2
train.1174 4
train.1175 1
train.1176 5
train.1177 2
train.1178 3
train.1179 5
train.1180 2
train.1181 1
train.1182 5
train.1183 2
train.1184 5
train.1185 4
train.1186 4
train.1187 3
train.1188 2
train.1189 2
train.1190 4
train.1191 1
train.1192 2
train.1193 4
train.1194 2
train.1195 3
train.1196 3
train.1197 4
train.1198 1
train.1199 5
train.1200 5
train.1201 2
train.1202 2
train.1203 2
train.1204 3
train.1205 3
train.1206 3
train.1207 5
train.1208 1
train.1209 2
train.1210 2
train.1211 3
train.1212 4
train.1213 1
train.1214 2
train.1215 3
train.1216 3
train.1217 3
train.1218 2
train.1219 5
train.1220 3
train.1221 1
train.1222 5
train.1223 1
train.1224 2
train.1225 3
train.1226 5
train.1227 2
train.1228 4
train.1229 4
train.1230 5
train.1231 5
train.1232 1
train.1233 1
train.1234 5
train.1235 1
train.1236 1
train.1237 3
train.1238 4
train.1239 5
train.1240 1
train.1241 3
train.1242 1
train.1243 2
train.1244 1
train.1245 2
train.1246 5
train.1247 2
train.1248 1
train.1249 1
train.1250 4
train.1251 2
train.1252 5
train.1253 2
train.1254 4
train.1255 4
train.1256 5
train.1257 4
train.1258 5
train.1259 3
train.1260 5
train.1261 5
train.1262 5
train.1263 1
train.1264 5
train.1265 2
train.1266 4
train.1267 5
train.1268 2
train.1269 1
train.1270 3
train.1271 1
train.1272 2
train.1273 1
train.1274 5
train.1275 3
train.1276 2
train.1277 4
train.1278 4
train.1279 1
train.1280 5
train.1281 1
train.1282 4
train.1283 3
train.1284 3
train.1285 4
train.1286 1
train.1287 5
train.1288 2
train.1289 1
train.1290 2
train.1291 2
train.1292 4
train.1293 5
train.1294 5
train.1295 1
train.1296 1
train.1297 5
train.1298 3
train.1299 2
train.1300 3
train.1301 3
train.1302 4
train.1303 2
train.1304 2
train.1305 5
train.1306 3
train.1307 1
train.1308 4
train.1309 2
train.1310 3
train.1311 5
train.1312 1
train.1313 2
train.1314 1
train.1315 2
train.1316 1
train.1317 2
train.1318 5
train.1319 5
train.1320 3
train.1321 5
train.1322 4
train.1323 5
train.1324 5
train.1325 2
train.1326 4
train.1327 4
train.1328 1
train.1329 1
train.1330 3
train.1331 1
train.1332 5
train.1333 5
train.1334 3
train.1335 5
train.1336 4
train.1337 5
train.1338 5
train.1339 4
train.1340 5
train.1341 1
train.1342 1
train.1343 1
train.1344 4
train.1345 2
train.1346 3
train.1347 1
train.1348 3
train.1349 5
train.1350 2
train.1351 1
train.1352 1
train.1353 1
train.1354 4
train.1355 5
train.1356 5
train.1357 1
train.1358 4
train.1359 3
train.1360 1
train.1361 5
train.1362 4
train.1363 4
train.1364 4
train.1365 3
train.1366 1
train.1367 1
train.1368 5
train.1369 1
train.1370 1
train.1371 4
train.1372 1
train.1373 1
train.1374 4
train.1375 2
train.1376 2
train.1377 4
train.1378 2
train.1379 5
train.1380 5
train.1381 4
train.1382 1
train.1383 2
train.1384 5
train.1385 2
train.1386 4
train.1387 5
train.1388 2
train.1389 1
train.1390 1
train.1391 4
train.1392 4
train.1393 3
train.1394 5
train.1395 4
train.1396 5
train.1397 2
train.1398 1
train.1399 1
train.1400 2
train.1401 4
train.1402 1
train.1403 3
train.1404 3
train.1405 3
train.1406 3
train.1407 3
train.1408 2
train.1409 1
train.1410 4
train.1411 4
train.1412 4
train.1413 4
train.1414 5
train.1415 4
train.1416 5
train.1417 4
train.1418 1
train.1419 4
train.1420 4
train.1421 3
train.1422 5
train.1423 4
train.1424 5
train.1425 1
train.1426 3
train.1427 1
train.1428 2
train.1429 3
train.1430 4
train.1431 5
train.1432 3
train.1433 4
train.1434 5
train.1435 5
train.1436 4
train.1437 2
train.1438 4
train.1439 2
train.1440 2
train.1441 5
train.1442 4
train.1443 4
train.1444 4
train.1445 2
train.1446 2
train.1447 1
train.1448 3
train.1449 1
train.1450 3
train.1451 3
train.1452 5
train.1453 4
train.1454 1
train.1455 5
train.1456 5
train.1457 4
train.1458 2
train.1459 4
train.1460 3
train.1461 5
train.1462 2
train.1463 5
train.1464 5
train.1465 1
train.1466 4
train.1467 5
train.1468 5
train.1469 3
train.1470 5
train.1471 2
train.1472 1
train.1473 2
train.1474 1
train.1475 3
train.1476 2
train.1477 1
train.1478 3
train.1479 5
train.1480 3
train.1481 3
train.1482 4
train.1483 2
train.1484 2
train.1485 5
train.1486 4
train.1487 3
train.1488 2
train.1489 1
train.1490 5
train.1491 4
train.1492 1
train.1493 2
train.1494 4
train.1495 5
train.1496 5
train.1497 3
train.1498 1
train.1499 5
train.1500 2
train.1501 4
train.1502 2
train.1503 3
train.1504 1
train.1505 2
train.1506 4
train.1507 1
train.1508 3
train.1509 1
train.1510 1
train.1511 4
train.1512 3
train.1513 3
train.1514 4
train.1515 2
train.1516 3
train.1517 1
train.1518 1
train.1519 2
train.1520 3
train.1521 3
train.1522 3
train.1523 2
train.1524 2
train.1525 2
train.1526 2
train.1527 4
train.1528 1
train.1529 2
train.1530 3
train.1531 2
train.1532 2
train.1533 4
train.1534 5
train.1535 1
train.1536 4
train.1537 1
train.1538 2
train.1539 2
train.1540 4
train.1541 4
train.1542 2
train.1543 3
train.1544 3
train.1545 5
train.1546 1
train.1547 2
train.1548 1
train.1549 1
train.1550 2
train.1551 3
train.1552 3
train.1553 3
train.1554 3
train.1555 2
train.1556 1
train.1557 1
train.1558 1
train.1559 4
train.1560 4
train.1561 2
train.1562 3
train.1563 4
train.1564 4
train.1565 4
train.1566 5
train.1567 4
train.1568 3
train.1569 1
train.1570 3
train.1571 1
train.1572 3
train.1573 2
train.1574 5
train.1575 3
train.1576 3
train.1577 5
train.1578 3
train.1579 1
train.1580 3
train.1581 1
train.1582 5
train.1583 4
train.1584 4
train.1585 5
train.1586 1
train.1587 1
train.1588 4
train.1589 3
train.1590 2
train.1591 2
train.1592 4
train.1593 3
train.1594 3
train.1595 5
train.1596 1
train.1597 1
train.1598 5
train.1599 1
train.1600 2
train.1601 1
train.1602 1
train.1603 4
train.1604 4
train.1605 4
train.1606 4
train.1607 3
train.1608 4
train.1609 3
train.1610 4
train.1611 1
train.1612 3
train.1613 4
train.1614 2
train.1615 5
train.1616 1
train.1617 4
train.1618 3
train.1619 5
train.1620 3
train.1621 2
train.1622 2
train.1623 3
train.1624 4
train.1625 3
train.1626 2
train.1627 1
train.1628 4
train.1629 4
train.1630 4
train.1631 4
train.1632 4
train.1633 5
train.1634 3
train.1635 5
train.1636 5
train.1637 5
train.1638 5
train.1639 3
train.1640 4
train.1641 1
train.1642 2
train.1643 5
train.1644 4
train.1645 1
train.1646 4
train.1647 5
train.1648 2
train.1649 5
train.1650 3
train.1651 3
train.1652 1
train.1653 5
train.1654 3
train.1655 4
train.1656 5
train.1657 3
train.1658 2
train.1659 3
train.1660 1
train.1661 5
train.1662 1
train.1663 2
train.1664 2
train.1665 5
train.1666 4
train.1667 3
train.1668 1
train.1669 2
train.1670 5
train.1671 3
train.1672 5
train.1673 2
train.1674 1
train.1675 2
train.1676 5
train.1677 1
train.1678 5
train.1679 3
train.1680 2
train.1681 1
train.1682 3
train.1683 2
train.1684 4
train.1685 4
train.1686 2
train.1687 1
train.1688 3
train.1689 4
train.1690 5
train.1691 5
train.1692 5
train.1693 4
train.1694 4
train.1695 3
train.1696 2
train.1697 2
train.1698 1
train.1699 5
train.1700 1
train.1701 4
train.1702 4
train.1703 4
train.1704 4
train.1705 2
train.1706 1
train.1707 2
train.1708 3
train.1709 5
train.1710 5
train.1711 1
train.1712 3
train.1713 5
train.1714 3
train.1715 3
train.1716 4
train.1717 1
train.1718 3
train.1719 5
train.1720 4
train.1721 4
train.1722 4
train.1723 4
train.1724 4
train.1725 1
train.1726 1
train.1727 2
train.1728 5
train.1729 5
train.1730 1
train.1731 2
train.1732 2
train.1733 2
train.1734 2
train.1735 1
train.1736 3
train.1737 1
train.1738 3
train.1739 4
train.1740 2
train.1741 5
train.1742 3
train.1743 3
train.1744 3
train.1745 4
train.1746 1
train.1747 3
train.1748 4
train.1749 4
train.1750 4
train.1751 5
train.1752 4
train.1753 3
train.1754 3
train.1755 4
train.1756 3
train.1757 5
train.1758 4
train.1759 2
train.1760 4
train.1761 1
train.1762 5
train.1763 5
train.1764 3
train.1765 3
train.1766 1
train.1767 2
train.1768 5
train.1769 1
train.1770 5
train.1771 2
train.1772 5
train.1773 2
train.1774 5
train.1775 4
train.1776 4
train.1777 1
train.1778 2
train.1779 2
train.1780 2
train.1781 2
train.1782 4
train.1783 5
train.1784 2
train.1785 1
train.1786 1
train.1787 5
train.1788 3
train.1789 5
train.1790 2
train.1791 3
train.1792 2
train.1793 3
train.1794 5
train.1795 2
train.1796 4
train.1797 3
train.1798 4
train.1799 3
train.1800 4
train.1801 1
train.1802 4
train.1803 5
train.1804 5
train.1805 2
train.1806 2
train.1807 1
train.1808 5
train.1809 4
train.1810 4
train.1811 5
train.1812 1
train.1813 4
train.1814 2
train.1815 1
train.1816 3
train.1817 5
train.1818 3
train.1819 2
train.1820 3
train.1821 1
train.1822 2
train.1823 2
train.1824 5
train.1825 5
train.1826 5
train.1827 3
train.1828 3
train.1829 4
train.1830 2
train.1831 4
train.1832 4
train.1833 3
train.1834 2
train.1835 5
train.1836 5
train.1837 2
train.1838 3
train.1839 1
train.1840 5
train.1841 4
train.1842 1
train.1843 4
train.1844 5
train.1845 3
train.1846 5
train.1847 1
train.1848 2
train.1849 4
train.1850 2
train.1851 1
train.1852 1
train.1853 4
train.1854 3
train.1855 5
train.1856 5
train.1857 4
train.1858 2
train.1859 3
train.1860 4
train.1861 1
train.1862 5
train.1863 3
train.1864 3
train.1865 5
train.1866 1
train.1867 5
train.1868 4
train.1869 4
train.1870 5
train.1871 2
train.1872 4
train.1873 2
train.1874 1
train.1875 4
train.1876 4
train.1877 3
train.1878 2
train.1879 2
train.1880 3
train.1881 1
train.1882 1
train.1883 1
train.1884 1
train.1885 4
train.1886 3
train.1887 1
train.1888 1
train.1889 4
train.1890 1
train.1891 2
train.1892 2
train.1893 2
train.1894 2
train.1895 4
train.1896 1
train.1897 4
train.1898 2
train.1899 3
train.1900 5
train.1901 4
train.1902 5
train.1903 4
train.1904 2
train.1905 3
train.1906 2
train.1907 5
train.1908 5
train.1909 1
train.1910 5
train.1911 5
train.1912 3
train.1913 3
train.1914 1
train.1915 1
train.1916 4
train.1917 2
train.1918 4
train.1919 5
train.1920 5
train.1921 3
train.1922 3
train.1923 1
train.1924 3
train.1925 5
train.1926 1
train.1927 3
train.1928 1
train.1929 5
train.1930 5
train.1931 4
train.1932 5
train.1933 1
train.1934 4
train.1935 5
train.1936 2
train.1937 3
train.1938 2
train.1939 5
train.1940 4
train.1941 1
train.1942 3
train.1943 3
train.1944 3
train.1945 5
train.1946 2
train.1947 3
train.1948 4
train.1949 4
train.1950 5
train.1951 1
train.1952 2
train.1953 2
train.1954 3
train.1955 1
train.1956 1
train.1957 1
train.1958 4
train.1959 3
train.1960 4
train.1961 4
train.1962 4
train.1963 2
train.1964 2
train.1965 1
train.1966 3
train.1967 1
train.1968 5
train.1969 1
train.1970 4
train.1971 4
train.1972 5
train.1973 3
train.1974 4
train.1975 4
train.1976 1
train.1977 5
train.1978 1
train.1979 4
train.1980 1
train.1981 2
train.1982 3
train.1983 5
train.1984 3
train.1985 2
train.1986 5
train.1987 1
train.1988 5
train.1989 1
train.1990 2
train.1991 5
train.1992 1
train.1993 3
train.1994 2
train.1995 1
train.1996 3
train.1997 3
train.1998 3
train.1999 2
train.2000 5
train.2001 5
train.2002 3
train.2003 2
train.2004 4
train.2005 2
train.2006 1
train.2007 3
train.2008 3
train.2009 4
train.2010 2
train.2011 3
train.2012 5
train.2013 2
train.2014 4
train.2015 3
train.2016 3
train.2017 3
train.2018 1
train.2019 5
train.2020 2
train.2021 4
train.2022 1
train.2023 2
train.2024 3
train.2025 2
train.2026 1
train.2027 2
train.2028 5
train.2029 3
train.2030 2
train.2031 4
train.2032 2
train.2033 3
train.2034 4
train.2035 3
train.2036 2
train.2037 1
train.2038 2
train.2039 5
train.2040 1
train.2041 1
train.2042 3
train.2043 5
train.2044 4
train.2045 2
train.2046 1
train.2047 5
train.2048 5
train.2049 1
train.2050 1
train.2051 4
train.2052 4
train.2053 3
train.2054 3
train.2055 5
train.2056 2
train.2057 4
train.2058 3
train.2059 1
train.2060 2
train.2061 2
train.2062 2
train.2063 3
train.2064 2
train.2065 4
train.2066 4
train.2067 1
train.2068 4
train.2069 4
train.2070 2
train.2071 5
train.2072 1
train.2073 4
train.2074 1
train.2075 2
train.2076 3
train.2077 3
train.2078 5
train.2079 4
train.2080 3
train.2081 5
train.2082 4
train.2083 3
train.2084 1
train.2085 2
train.2086 3
train.2087 2
train.2088 2
train.2089 4
train.2090 2
train.2091 5
train.2092 1
train.2093 5
train.2094 3
train.2095 5
train.2096 4
train.2097 1
train.2098 4
train.2099 4
train.2100 3
train.2101 1
train.2102 1
train.2103 2
train.2104 2
train.2105 1
train.2106 3
train.2107 2
train.2108 1
train.2109 1
train.2110 4
train.2111 4
train.2112 2
train.2113 4
train.2114 5
train.2115 5
train.2116 3
train.2117 3
train.2118 1
train.2119 1
train.2120 3
train.2121 5
train.2122 3
train.2123 3
train.2124 4
train.2125 1
train.2126 5
train.2127 2
train.2128 3
train.2129 5
train.2130 3
train.2131 1
train.2132 5
train.2133 1
train.2134 2
train.2135 4
train.2136 3
train.2137 5
train.2138 4
train.2139 1
train.2140 2
